candidate_id,current_title,pipeline_rank,llm_rank,judge_rank,judge_mean_score,llm_fit_0_10,total_score,why
samasthasunoj,Human Resources Assistant & Document Controller,1,20,3,79.5,6,0.6808,"Strongest overall fit for a hands-on UAE HR Assistant seat in an industrial employer: two UAE HR-assistant roles, explicit UAE Labour Law/Trakhees compliance, hands-on visa/medical coordination, construction/EPC context, and listed Arabic+English. Compliance depth is credited but lacks explicit WPS/PRO-portal naming, and tenures are short."
yoosuf-chamathadka-ali-9a018a273,PRO Executive – HR Assistant,2,13,12,74.25,7,0.6667,"Deep UAE PRO/immigration specialist: MOHRE/GDRFA, end-to-end visas, Emirates ID, Tawjeeh, quota, and absconding for 3,000+ workers, with a blue-collar manpower-supply workforce and explicit Arabic + English plus hands-on portals — the batch's strongest compliance and preferred-signal profile. But narrow for this broad seat: no WPS/payroll, no HRIS/Excel, and thin general HR ops (no attendance/leave/recruitment coordination). Ideal entry/assistant level and stable 3-yr tenure. A close second to J44 on overall JD coverage."
amulya-dattada-941b89231,HR Operations Executive,3,42,11,75.0,5,0.6635,"The clear top fit. Only candidate demonstrating the full UAE PRO/WPS/labour-law stack hands-on, with named HRIS (ZKTeco), strong Excel, and quantified operational impact at exactly the junior HR-assistant level. Docked only for absent industrial-sector context and thin preferred signals (government-portal work via MOHRE credited)."
arunmania,Regional Assistant - HR (Corporate Office Dubai & NE),4,37,18,66.5,5,0.6581,"Very strong, purely-HR junior profile with real UAE visa/Emirates-ID/Labour-Law exposure and excellent core HR ops evidence. Ranks below J32 chiefly on missing industrial-workforce context and thinner PRO/payroll compliance depth for this manufacturing seat."
muhammed-ashar-k-19b216236,Human Resources Assistant,5,54,1,82.5,4,0.6466,"Best overall fit for this JD. Literal HR Assistant title at entry level with the strongest UAE compliance/PRO evidence (visa, Emirates ID, PRO-team government transactions, final settlements) and the deepest named HRIS stack. Blue-collar driver workforce with accommodation/fleet coordination is the closest analogue to the industrial/labour-camp context, and the career is 100% HR. Held below ceiling only by the absence of the exact manufacturing/HVAC sector, explicit WPS naming, and a professional HR certification."
savaf-methiyil-744910316,Human Resources Assistant,6,39,7,76.5,5,0.6464,"Strongest job-fit: a hands-on HR Assistant with explicitly evidenced UAE portal/visa/WPS/payroll depth and broad core HR operations. Level is squarely junior/hands-on, so the 8.9 total-year figure is not penalized. Points off only where nice-to-haves are unproven (true manufacturing sector, Arabic/Tagalog, CIPD) and portal work is the sole credited preferred signal."
sabeeh-ansari-43525923b,HR and Administrative Executive,7,5,2,79.0,9,0.6365,"Strongest overall fit: explicit, hands-on UAE PRO/visa/Emirates ID depth across a typing-centre and HR seat, comprehensive core HR operations, and concrete evidence. Loses ground only on industrial-workforce context (food FZ, no factory detail) and named HRIS/WPS/gratuity specifics."
aiswarya-ravindran-a59569223,HR operation assistant,8,34,7,76.5,5,0.6312,"Strongest fit of the three. The current 'HR operation assistant' title matches the seat exactly, and detailed, concrete duties cover visa processing, Emirates ID renewals via PRO/government authorities, UAE labor-law compliance, contracts/NOCs, payroll reports, and full-cycle recruitment/onboarding, plus HRIS/QuickBooks/SAP and skilled-labour deployment context. Explicit English skill and hands-on government/PRO work are credited. Held back only by no explicit WPS, named portals, gratuity, Arabic/Tagalog, or CIPD, and by ~5y HR (12.8y total) exceeding the 1-4y ideal with some overlapping records."
harikrishna-r-87b3ab253,HR Officer - Group Operations,9,4,6,79.0,9,0.6211,"Strongest overall fit. Explicit, concrete UAE payroll/gratuity/final-settlement processing plus visa, labour contracts, work permits and Emirates ID handled directly through MOHRE/GDRFA/ICP, combined with genuine manufacturing/factory workforce exposure (140+ staff, manpower suppliers). Hands-on officer level with a coherent admin-to-HR progression. Credited English and government portals. Minor gaps: no named HRIS, WPS/Tasheel not named, and only ~2 of 5.2 years are core HR."
abiya-prince-9b159b1b2,HR & Admin Officer,10,8,13,67.25,8,0.6209,"Good fit. Hands-on PRO visa work (renewals/cancellations), payroll for ~60, and construction-sector context at POWERCHINA, with a clean HR progression and MS 365. Held back by missing WPS/labour-card/EID/gratuity specifics, no named HRIS, and an empty languages field."
